property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,Sant Martí,5,400000.0,107,3,2,0,1945.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992,12.89921982609012
Flat / apartment,El Raval,5,465000.0,76,2,1,2,2020.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.049792684569493
Penthouse,El Raval,5,1500000.0,114,2,3,4,1911.8142857142857,0,1,1,0,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,3.0305791993286255,14.22097566607244
Flat / apartment,El Raval,5,469000.0,120,3,1,1,1926.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.058358047428417
Flat / apartment,El Raval,5,460000.0,119,3,2,1,1936.0,1,0,0,0,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,2.0306348219860992,13.038981768465277
Studio flat,El Raval,5,310000.0,57,0,1,0,1911.8142857142857,1,1,0,1,0,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,1.0,12.644327576461329
Flat / apartment,El Raval,5,299000.0,60,3,1,5,1970.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.608198852372823
Penthouse,Ciutat Vella,5,1250000.0,189,3,2,3,1905.485436893204,1,0,1,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,3.0305791993286255,14.038654109278484
Flat / apartment,El Raval,5,279000.0,99,3,2,4,1900.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.538967060803502
Duplex,Ciutat Vella,5,395000.0,142,5,3,0,1910.0,0,0,1,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.866960588752642,12.886641043883259
Flat / apartment,El Raval,5,298000.0,50,1,1,0,1910.0,0,0,1,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.604848765487542
Flat / apartment,El Raval,5,315000.0,84,3,2,3,1900.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.66032791780777
Flat / apartment,El Raval,5,315000.0,90,2,2,2,1911.8142857142857,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.66032791780777
Flat / apartment,Ciutat Vella,5,225000.0,38,1,1,4,1819.0,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,5.078603488027523,2.0306348219860992,12.323855681186558
Flat / apartment,El Raval,5,177000.0,40,2,1,3,1865.0,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.083905011555967
Flat / apartment,El Raval,5,320000.0,75,2,2,3,1850.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.676076274775909
Penthouse,El Raval,5,1500000.0,215,2,2,3,2018.0,1,1,1,0,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,3.0305791993286255,14.22097566607244
