property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,Centre,Hospitalet de Llobregat,157000.0,43,3,1,3,1974.1209677419354,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,3.140219810596927,2.0306348219860992
Flat / apartment,Sants-Montjuïc,Barcelona,350000.0,70,3,2,0,1928.0,1,0,0,1,1,0,0,0,0,1,0,3.086356414343004,3.1317820110923558,2.0306348219860992
Flat / apartment,Sants,Barcelona,570000.0,93,3,2,0,2022.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.11537890421738,2.0306348219860992
Flat / apartment,Sants,Barcelona,190000.0,50,3,1,1,1936.0,0,0,0,0,1,1,0,0,0,0,1,3.086356414343004,3.11537890421738,2.0306348219860992
Studio flat,Sants,Barcelona,265000.0,58,0,1,1,2008.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.11537890421738,1.0
Flat / apartment,Sants,Barcelona,240000.0,62,2,2,2,1968.0,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.11537890421738,2.0306348219860992
Penthouse,Sants-Montjuïc,Barcelona,400000.0,69,1,1,4,1930.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.1317820110923558,3.0305791993286255
Penthouse,Gràcia,Barcelona,990000.0,176,3,3,6,1964.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,6.362475886182783,3.0305791993286255
Penthouse,Gràcia,Barcelona,895000.0,187,4,3,9,1977.0,1,1,1,0,1,1,0,0,0,0,1,3.086356414343004,6.362475886182783,3.0305791993286255
Duplex,La Salut,Barcelona,519000.0,138,3,3,0,2005.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,2.95560987234748,2.866960588752642
Duplex,La Salut,Barcelona,310000.0,75,2,2,0,1975.8481012658228,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,2.95560987234748,2.866960588752642
Flat / apartment,La Salut,Barcelona,345000.0,83,4,2,1,1970.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,2.95560987234748,2.0306348219860992
Flat / apartment,Gràcia,Barcelona,490000.0,135,5,5,0,1957.2093023255813,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,6.362475886182783,2.0306348219860992
Flat / apartment,La Teixonera,Barcelona,225000.0,79,3,1,0,1979.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,2.149632487563522,2.0306348219860992
Flat / apartment,La Teixonera,Barcelona,280000.0,65,2,1,1,2021.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,2.149632487563522,2.0306348219860992
Penthouse,Horta Guinardó,Barcelona,289000.0,62,2,2,3,2023.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.33959801513142,3.0305791993286255
Flat / apartment,Horta Guinardó,Barcelona,150000.0,70,3,1,1,1960.0,1,1,0,0,1,0,0,0,0,0,0,3.086356414343004,3.33959801513142,2.0306348219860992
